"Visual_A","Visual_B","Somatomotor_A","Somatomotor_B","DorsalAttention_A","DorsalAttention_B","VentralAttention_A","VentralAttention_B","Limbic_A","Limbic_B","Frontoparietal_A","Frontoparietal_B","Frontoparietal_C","DefaultMode_A","DefaultMode_B","DefaultMode_C","DefaultMode_D"
11768.9829099493,9794.49782895913,10335.9353688614,11421.6923786896,10201.9025836798,10753.5998133349,10437.3219630211,12078.7330511245,10957.5952309816,9903.56272680362,10568.0445353956,9906.54387345496,10661.8467712074,9813.22113298046,10031.7243855362,11950.957040421,10904.7034782431
11742.1153856046,9772.32639176945,10306.3735106689,11378.9240691632,10175.9870017123,10723.3359284317,10415.9223211615,12070.6505054548,10928.7470012586,9891.23547708897,10553.0967275794,9869.33353161934,10633.728868101,9760.7002992598,9979.1469022514,11912.4021608401,10888.2230497535
11713.7592219386,9753.91146834473,10283.7082409341,11354.5248864225,10155.6611590144,10709.1958168998,10390.9489538301,12030.7675820411,10913.9748970206,9858.74654094717,10519.1171309163,9860.21254169563,10620.4459383548,9746.12188982177,9964.22027994119,11875.214761568,10861.6218883071
11703.0186046457,9751.51169860019,10281.0934217108,11348.4283682476,10148.58188283,10693.2963422403,10389.3408380104,12022.3209700514,10910.2097724484,9864.66879977609,10540.8678026812,9854.38696172434,10627.2221404463,9746.8702880673,9961.79502567074,11887.5777462034,10872.1519698853
11693.7931083717,9736.57796359346,10266.6747196577,11343.4909407069,10148.6353166075,10692.0955773463,10381.9848831218,12006.3392356454,10905.8944752434,9848.16961990589,10546.2129823481,9846.35685464295,10619.2106205378,9739.3373721815,9949.07387232821,11859.3983042405,10861.6458008893
11696.8269468558,9733.73466978665,10271.3708873853,11341.9309787666,10147.2378757097,10684.292249949,10376.9725694459,12005.1703094254,10898.7043902147,9832.64006380103,10522.6226619344,9841.17943406493,10615.1022372485,9715.98895072032,9943.01967566135,11858.3966649737,10836.3264156855
11697.0062357891,9726.48400114731,10269.9107698365,11348.5224672564,10148.4451681242,10691.2284663084,10378.5879431163,12007.2548124187,10894.4975207188,9833.82827931308,10525.7522791391,9854.19249761329,10620.6300328513,9728.24090917966,9935.90392465266,11858.1108713449,10825.7439145606
11694.8565225682,9720.56020105846,10257.8132532794,11342.0780152372,10148.7107556852,10703.2511002003,10385.4877505317,11992.8111297155,10887.7655362406,9831.03362632032,10510.1794871968,9840.86193189675,10618.6328323044,9720.73606708999,9939.55795940124,11848.0594774738,10832.2758130416
11698.0119987015,9711.33524778687,10264.2862336044,11354.8890058631,10156.3610228966,10702.2650121036,10384.2707175086,11995.1778188629,10882.0618001393,9816.56075944649,10524.7348780283,9844.16830049131,10612.3879154087,9708.2539467932,9943.97858727559,11844.9833546253,10824.6389986692
11691.6160169131,9722.25856038144,10261.460908034,11358.1072828956,10156.9175299272,10696.9956569029,10396.6503719906,12009.1817551176,10893.8205654606,9828.59656484519,10517.2087776132,9851.61725518864,10619.650398729,9715.41625209036,9956.02619792837,11856.1312938305,10831.8545775449
11710.7227290857,9724.73669619111,10280.2159504428,11371.9909614797,10172.8954855698,10710.2541103387,10404.9476326918,12030.9932552157,10891.0700873401,9821.95979477062,10534.8600008441,9863.61583758217,10626.7664404015,9719.40480203847,9961.04362931425,11880.3143029112,10834.3098669184
11672.5199041499,9698.94667790534,10245.7781921447,11326.4498101348,10151.1381598835,10680.9400689501,10389.8925068849,11996.5682320414,10856.7316954382,9804.76022359543,10499.042153416,9842.38819132689,10610.9761487461,9698.77203782529,9958.3815212289,11835.2084806106,10810.8641540428
11668.4206560078,9695.18475776193,10257.1457668888,11310.6404793215,10139.3311997136,10682.0343825022,10394.8822932094,11994.8127077336,10862.6236474097,9797.82943353939,10494.3829771383,9832.95931068077,10597.9535511458,9697.55671480566,9962.73402635974,11835.2860537473,10796.4381128043
11663.5262640271,9692.48535824843,10238.3693454094,11297.5411678806,10130.6538353669,10663.3061679005,10363.0590785424,11964.8946672532,10848.1289618471,9797.41124598751,10484.9767588128,9815.64471782167,10598.6610741174,9691.54874186697,9945.67689241756,11827.1156157187,10787.7503972265
11665.7415988821,9694.04238668672,10248.2529680941,11307.9255287074,10131.5363363281,10665.1896663997,10369.0182051246,11979.6240582204,10847.7175809195,9816.02295258517,10478.7374233582,9821.18225359754,10602.7060733547,9708.46828547889,9958.12918270214,11821.1117363138,10801.5145885305
11694.3297984831,9720.63503338459,10263.0622594572,11340.2531762379,10143.0995904079,10681.1058779999,10385.2949568603,12007.3238429187,10880.0019562578,9828.52166333001,10516.5502280605,9830.72337767809,10617.0892237932,9708.82305387818,9968.97216535509,11844.7797174714,10801.0690113828
11710.3578795799,9739.41737225034,10279.9361042553,11351.1842968066,10155.8427733533,10708.9006162467,10406.8351816685,12028.4083076584,10895.2906169741,9844.77275861029,10543.5800109614,9855.48460242664,10640.5959838018,9750.57274248213,9999.64998712497,11886.391392377,10830.4904998851
11716.9465110858,9734.37230631098,10279.0208022474,11344.5715552421,10158.3997566041,10700.8717132636,10405.4346951658,12032.0164504688,10897.7410282201,9848.8012881371,10539.8797353373,9844.21412799437,10642.7638585488,9731.7812454984,9983.48507657201,11874.4422670624,10828.7128057279
11716.1273326301,9743.82190376428,10287.2176159367,11350.1014349831,10172.1489789037,10722.7134027536,10423.3565805996,12031.7991933511,10892.268283355,9839.53373456206,10535.2776445206,9845.51600421626,10635.3604009793,9733.24421709653,9983.86965201255,11871.7958436639,10825.7114197716
11726.0942699254,9747.32971197773,10288.2979461298,11351.6691958525,10170.0601267272,10718.6686443974,10416.1600526753,12048.8242294695,10894.5397330172,9862.35083413769,10552.6194581843,9838.99125830963,10640.2716618197,9726.96885371249,9984.41196366498,11873.4099993491,10845.7221970996
11726.4913579002,9765.51492526721,10304.2918454558,11385.2401371763,10190.5447156632,10731.4050746917,10427.7359469171,12061.2960321303,10920.2450377564,9866.11278069507,10557.6294118726,9871.47757858617,10667.7287853054,9755.70857943344,10006.1347496861,11892.7796301438,10847.1620206545
11739.9001668492,9779.27648026059,10314.0510263097,11377.3927208554,10199.1781237037,10732.5778287187,10418.6388720217,12055.5016716854,10931.8636531701,9870.49676414532,10554.4300867468,9864.54938892472,10674.7290547614,9742.53713437727,10008.0753916393,11886.9131655676,10852.664728505
11752.9096870812,9789.42893985801,10328.9094680615,11399.3118233925,10211.9246483925,10762.1977391683,10438.7424666912,12083.3285314344,10925.6284980758,9878.17635831736,10560.1451955961,9882.5741355629,10684.2473486021,9731.94869652509,10004.7505246775,11902.294499541,10893.8523585331
11747.2792930043,9787.94796436674,10321.5958460783,11384.1122591455,10205.7203579163,10739.8280046077,10431.8722441235,12075.8047955862,10918.5374066006,9871.76693867902,10562.7214434448,9870.06014752811,10679.3237988674,9727.34233833739,10013.0871567378,11899.6395134164,10886.765950406
11720.5874572019,9765.33763778394,10286.4769377558,11345.9896803582,10179.660600294,10716.7180747176,10404.6141327311,12036.902378367,10903.1156384213,9844.36692342797,10549.7525836655,9863.0373432386,10666.5285520417,9713.20892893177,9997.48849977216,11872.6169902252,10860.0389986205
11698.8000839013,9759.59254255019,10270.6472378173,11334.8386145449,10174.4975151352,10716.5586695337,10390.7923494575,12032.1145254269,10880.5058877323,9832.19810840075,10526.0014669434,9864.51532838467,10655.1960389111,9684.90130818683,9989.44531275684,11865.9283973566,10853.0230954371
11691.2073806316,9742.87945567,10268.2631944775,11326.1756947064,10173.0299747924,10694.4917830553,10387.9093211578,12025.7782165846,10872.0848324534,9829.16051646217,10528.4113363096,9848.17113594117,10649.4835323981,9694.46026786333,9986.214204008,11855.8739767803,10828.7575708311
